,,Kalmar,3 - 0,Falkenberg,View events,More info
,,Gefle,0 - 1,Jönköpings Södra,View events,More info
,,Djurgården,0 - 3,AIK,View events,More info
Thu,22/09/16,Hammarby,2 - 3,Häcken,View events,More info
,,IFK Göteborg,3 - 2,Örebro,View events,More info
,,Malmö FF,1 - 0,Elfsborg,View events,More info
Sat,24/09/16,Jönköpings Södra,0 - 1,Kalmar,View events,More info
Sun,25/09/16,Elfsborg,2 - 2,AIK,View events,More info
,,Malmö FF,2 - 0,Helsingborg,View events,More info
Mon,26/09/16,Norrköping,1 - 3,Djurgården,View events,More info
,,GIF Sundsvall,0 - 0,Häcken,,More info
,,IFK Göteborg,2 - 0,Östersunds FK,,
Mon,26/09/16,Falkenberg,0 - 2,Hammarby,View events,More info
,,Örebro,2 - 2,Gefle,View events,More info
Fri,30/09/16,Helsingborg,0 - 1,Hammarby,View events,More info
Sat,01/10/16,GIF Sundsvall,3 - 1,Jönköpings Södra,View events,More info
,,Östersunds FK,6 - 1,Falkenberg,View events,More info
,,Häcken,2 - 4,Malmö FF,View events,More info
Sun,02/10/16,Kalmar,4 - 2,IFK Göteborg,View events,More info
,,Gefle,2 - 2,Elfsborg,View events,More info
,,AIK,6 - 0,Norrköping,View events,More info
,,Djurgården,3 - 2,Örebro,View events,More info
Sat,15/10/16,Falkenberg,1 - 1,GIF Sundsvall,View events,More info
Sun,16/10/16,Norrköping,1 - 2,Malmö FF,View events,More info
,,AIK,2 - 0,Östersunds FK,View events,More info
,,Örebro,2 - 1,Kalmar,View events,More info
,,Jönköpings Södra,1 - 1,Häcken,View events,More info
,,Elfsborg,1 - 0,Helsingborg,View events,More info
Mon,17/10/16,Hammarby,4 - 2,Djurgården,View events,More info
,,IFK Göteborg,3 - 3,Gefle,View events,More info
Fri,21/10/16,Gefle,1 - 1,GIF Sundsvall,View events,More info
Sat,22/10/16,Malmö FF,0 - 3,Östersunds FK,View events,More info
Sun,23/10/16,Norrköping,2 - 1,Falkenberg,View events,More info
,,Örebro,0 - 0,Helsingborg,,More info
,,Hammarby,2 - 4,Elfsborg,View events,More info
,,Häcken,2 - 3,Kalmar,View events,More info
Mon,24/10/16,IFK Göteborg,1 - 0,AIK,,
Mon,24/10/16,Djurgården,0 - 2,Jönköpings Södra,View events,More info
Wed,26/10/16,Östersunds FK,2 - 0,Hammarby,View events,More info
,,Elfsborg,2 - 1,Norrköping,View events,More info
,,Kalmar,0 - 1,Gefle,View events,More info
,,Falkenberg,0 - 3,Malmö FF,View events,More info
Thu,27/10/16,Jönköpings Södra,1 - 1,Örebro,View events,More info
,,GIF Sundsvall,1 - 3,IFK Göteborg,View events,More info
,,Helsingborg,1 - 2,Djurgården,View events,More info
,,AIK,2 - 1,Häcken,View events,More info
Sun,30/10/16,Hammarby,1 - 1,Norrköping,View events,More info
,,Kalmar,2 - 0,GIF Sundsvall,View events,More info
,,Gefle,1 - 0,Malmö FF,View events,More info
,,Falkenberg,1 - 4,Helsingborg,View events,More info
Mon,31/10/16,Jönköpings Södra,0 - 0,AIK,,More info
,,IFK Göteborg,2 - 2,Elfsborg,View events,More info
,,Djurgården,1 - 0,Häcken,View events,More info
,,Örebro,1 - 5,Östersunds FK,View events,More info
Sun,06/11/16,Malmö FF,3 - 0,Hammarby,View events,More info
,,Östersunds FK,2 - 4,Gefle,View events,More info
,,GIF Sundsvall,2 - 5,Djurgården,View events,More info
,,Norrköping,3 - 1,IFK Göteborg,View events,More info
,,Häcken,7 - 0,Falkenberg,View events,More info
,,Helsingborg,2 - 0,Jönköpings Södra,View events,More info
,,Elfsborg,2 - 1,Örebro,View events,More info
,,AIK,3 - 1,Kalmar,,
