Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC0,09/09/17,Ross County,Partick,1,1,D,0,1,A,J Beaton,16,9,6,5,14,13,4,3,3,1,0,0,2.5,3.4,2.7,2.45,3.3,2.75,2.5,3.3,2.65,2.6,3.25,2.65,2.58,3.54,2.82,2.6,3.25,2.75,2.5,3.4,2.63,34,2.61,2.52,3.54,3.32,2.82,2.69,32,2.02,1.92,1.92,1.84,13,0,1.96,1.86,2.04,1.98,2.28,3.65,3.21
SC0,09/09/17,St Johnstone,Hibernian,1,1,D,0,0,D,N Walsh,5,15,1,2,14,9,2,13,3,1,0,0,3.1,3.4,2.25,2.9,3.4,2.3,2.75,3.3,2.4,2.87,3.25,2.45,3.11,3.59,2.35,2.88,3.4,2.38,2.88,3.4,2.3,34,3.11,2.93,3.59,3.36,2.45,2.31,32,1.99,1.9,1.96,1.87,12,0,2.26,2.17,1.75,1.71,3.4,3.31,2.33
SC0,15/09/17,Partick,Rangers,2,2,D,0,1,A,W Collum,5,17,2,4,10,6,3,4,5,0,1,0,7.5,4.2,1.44,7.5,4.5,1.44,5.5,4,1.55,5.8,4,1.5,7.73,4.42,1.5,7,4.33,1.44,6.5,4.4,1.44,37,7.84,6.97,4.6,4.34,1.55,1.44,35,1.77,1.7,2.21,2.1,14,1.25,1.9,1.84,2.1,2.01,8.86,5.14,1.39
SC0,16/09/17,Aberdeen,Kilmarnock,1,1,D,1,0,H,S Finnie,15,10,5,5,10,13,5,4,2,3,0,0,1.33,5,9,1.3,5,9.5,1.33,4.8,8.3,1.33,4.8,10,1.35,5.18,10.77,1.33,5,9,1.33,5,8.5,36,1.35,1.32,5.5,4.98,10.77,9.04,34,1.83,1.72,2.19,2.08,13,-1.5,2.06,2.01,1.89,1.84,1.35,5.43,9.93
SC0,16/09/17,Celtic,Ross County,4,0,H,2,0,H,S McLean,30,7,9,5,10,9,7,3,0,1,0,0,1.13,8.5,17,1.14,7.25,17.5,1.15,7,15,1.14,8,23,1.15,9.24,20.2,1.12,8,21,1.12,8,17,36,1.15,1.13,9.55,8.02,24.75,17.87,28,1.37,1.34,3.4,3.1,13,-2.25,1.94,1.88,2.01,1.96,1.14,10.12,22.03
SC0,16/09/17,Dundee,St Johnstone,3,2,H,1,0,H,A Muir,15,10,7,6,20,18,1,6,0,2,1,0,2.75,3.3,2.5,2.8,3.4,2.4,2.75,3.3,2.4,3,3.3,2.35,3,3.5,2.46,3,3.2,2.4,2.75,3.4,2.38,36,3,2.86,3.65,3.34,2.5,2.38,35,1.97,1.88,1.97,1.89,13,0.25,1.82,1.78,2.13,2.07,3.04,3.23,2.58
SC0,16/09/17,Hamilton,Hearts,1,2,A,1,2,A,B Madden,7,9,2,6,11,11,7,2,2,1,0,0,3.5,3.4,2.05,3.6,3.4,2,3.3,3.3,2.1,3.4,3.4,2.1,3.55,3.52,2.17,3.3,3.3,2.2,3.2,3.5,2.1,36,3.6,3.36,3.52,3.38,2.2,2.11,35,1.94,1.87,1.97,1.9,13,0.25,2.04,1.98,1.92,1.86,3.94,3.65,2.01
SC0,16/09/17,Hibernian,Motherwell,2,2,D,1,0,H,B Cook,10,8,5,4,6,15,2,5,1,4,0,0,1.62,3.75,5.5,1.65,3.8,5,1.6,3.7,5.4,1.67,3.8,5.2,1.68,4.12,5.32,1.67,3.8,5,1.62,4,4.8,36,1.68,1.64,4.12,3.89,5.5,5.01,34,1.8,1.73,2.14,2.06,13,-0.75,1.89,1.83,2.08,2.02,1.47,4.73,7.54
SC0,23/09/17,Kilmarnock,Dundee,1,1,D,0,1,A,B Madden,11,7,7,3,14,23,6,9,2,2,0,0,2.4,3.3,2.88,2.35,3.4,2.85,2.4,3.3,2.75,2.5,3.2,2.87,2.57,3.28,3.01,2.5,3.2,2.9,2.45,3.3,3,37,2.57,2.43,3.4,3.23,3.01,2.88,36,2.16,2.04,1.83,1.74,14,-0.25,2.15,2.09,1.81,1.77,2.67,3.35,2.84
SC0,23/09/17,Partick,Hearts,1,1,D,1,0,H,D Robertson,15,13,9,4,12,12,3,6,1,2,0,0,3.4,3.3,2.15,3.4,3.25,2.15,3.1,3.3,2.2,3.4,3.25,2.15,3.46,3.58,2.19,3.2,3.3,2.25,3.4,3.4,2.15,38,3.5,3.31,3.58,3.3,2.25,2.15,37,2.11,2.02,1.83,1.75,15,0.25,2.04,1.99,1.9,1.85,3.95,3.4,2.09
